frame,left,right
1,14,7
2,14,8
3,16,12
4,14,8
5,13,8
6,13,8
7,13,8
8,13,8
9,14,9
10,13,6
11,11,7
12,13,6
13,14,9
14,,
15,,
16,,
17,,
18,,
19,,
20,17,10
21,17,11
22,16,8
23,17,7
24,16,7
25,16,9
26,16,8
27,16,9
28,14,7
29,13,7
30,11,5
31,11,7
32,12,8
33,10,7
34,11,8
35,10,7
36,10,6
37,10,6
38,10,7
39,12,7
40,11,7
41,11,5
42,10,4
43,14,7
44,18,7
45,17,11
46,17,12
47,15,10
48,13,8
49,13,9
50,11,7
51,10,7
52,9,8
53,10,7
54,10,5
55,8,6
56,8,6
57,7,6
58,7,5
59,5,4
60,0,3
61,1,1
62,4,0
63,6,5
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,13,8
74,13,9
75,14,9
76,14,10
77,13,9
78,13,8
79,12,7
80,12,7
81,12,7
82,11,5
83,10,7
84,10,6
85,13,7
86,15,10
87,17,9
88,16,10
89,17,13
90,19,12
91,16,9
92,14,9
93,14,7
94,15,9
95,14,9
96,12,7
97,10,5
98,10,2
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,17,12
109,16,10
110,14,8
111,13,5
112,13,5
113,13,7
114,13,8
115,12,7
116,11,8
117,11,7
118,12,8
119,12,9
120,12,7
