frame,left,right
1,11,1
2,10,1
3,9,0
4,8,1
5,8,1
6,7,0
7,8,1
8,10,1
9,10,1
10,12,0
11,13,0
12,13,1
13,10,0
14,10,1
15,8,1
16,10,1
17,9,1
18,11,0
19,10,1
20,9,1
21,8,0
22,9,1
23,10,1
24,11,0
25,12,1
26,12,1
27,10,1
28,9,1
29,8,1
30,8,0
31,7,1
32,7,1
33,5,0
34,1,0
35,6,0
36,7,0
37,5,1
38,1,1
39,6,1
40,2,1
41,5,1
42,,
43,,
44,,
45,10,
46,14,1
47,,
48,,
49,,
50,14,1
51,15,1
52,15,1
53,13,1
54,13,0
55,12,1
56,12,0
57,11,1
58,12,0
59,,
60,,
61,,
62,17,1
63,14,1
64,15,1
65,14,1
66,13,1
67,13,1
68,13,2
69,12,1
70,11,1
71,12,1
72,12,2
73,10,1
74,10,1
75,10,1
76,10,1
77,8,0
78,6,0
79,,
80,,
81,,
82,16,
83,11,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,11,1
92,10,1
93,13,2
94,13,3
95,13,1
96,6,2
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,14,2
108,12,2
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,13,3
118,13,2
119,,
120,,
