frame,left,right
1,,
2,,
3,,
4,1,21
5,1,21
6,1,21
7,1,18
8,1,18
9,1,19
10,1,19
11,0,18
12,1,14
13,0,15
14,,
15,1,13
16,1,12
17,1,12
18,1,12
19,1,11
20,1,8
21,1,8
22,1,9
23,0,11
24,1,12
25,2,12
26,0,6
27,1,7
28,1,6
29,1,5
30,6,8
31,5,9
32,3,4
33,,
34,3,11
35,4,18
36,,
37,,
38,,
39,1,21
40,1,21
41,1,20
42,1,22
43,1,21
44,1,20
45,1,20
46,1,17
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,2,20
56,1,21
57,0,21
58,1,20
59,1,18
60,0,11
61,2,16
62,1,19
63,1,18
64,1,20
65,1,20
66,0,16
67,1,14
68,1,17
69,1,14
70,1,16
71,1,15
72,1,14
73,1,13
74,1,13
75,1,11
76,1,11
77,2,14
78,5,17
79,3,20
80,1,20
81,0,21
82,1,20
83,1,20
84,1,19
85,1,18
86,1,17
87,1,16
88,1,17
89,3,16
90,3,18
91,2,19
92,1,20
93,0,19
94,1,19
95,3,19
96,1,20
97,1,20
98,1,18
99,,
100,,
101,2,14
102,1,19
103,1,19
104,1,20
105,1,20
106,1,20
107,1,19
108,1,19
109,1,19
110,1,19
111,1,19
112,1,19
113,1,18
114,1,18
115,1,19
116,1,19
117,,
118,1,16
119,1,15
120,,
