frame,left,right
1,13,1
2,13,0
3,14,1
4,,
5,,
6,,
7,10,1
8,10,1
9,13,1
10,13,1
11,13,0
12,12,0
13,13,1
14,16,1
15,18,0
16,15,1
17,16,1
18,13,1
19,14,1
20,13,1
21,13,0
22,11,1
23,11,0
24,10,1
25,,
26,14,1
27,16,0
28,15,1
29,16,0
30,15,1
31,14,0
32,13,1
33,14,1
34,14,2
35,14,1
36,15,0
37,16,0
38,14,1
39,14,0
40,14,2
41,15,1
42,14,0
43,14,0
44,13,2
45,5,0
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,22,0
54,20,0
55,21,2
56,20,1
57,18,0
58,18,1
59,18,1
60,16,0
61,14,1
62,17,0
63,17,1
64,15,1
65,12,1
66,,
67,,
68,,
69,17,1
70,18,2
71,18,1
72,16,0
73,16,1
74,16,1
75,17,0
76,17,1
77,17,1
78,17,0
79,16,1
80,15,1
81,14,0
82,15,1
83,13,1
84,14,1
85,13,1
86,13,1
87,13,0
88,14,0
89,13,1
90,13,0
91,12,0
92,12,1
93,12,1
94,12,0
95,15,1
96,16,2
97,17,0
98,17,1
99,18,1
100,17,0
101,17,2
102,15,2
103,13,0
104,13,1
105,13,2
106,16,3
107,19,1
108,18,1
109,20,1
110,18,1
111,20,0
112,19,1
113,17,2
114,15,0
115,14,1
116,15,0
117,15,0
118,13,1
119,13,1
120,12,0
