frame,left,right
1,6,20
2,9,20
3,6,21
4,7,20
5,7,20
6,6,21
7,4,21
8,4,20
9,4,21
10,6,22
11,7,21
12,5,20
13,1,19
14,4,18
15,5,19
16,4,20
17,7,19
18,11,18
19,15,17
20,10,18
21,10,20
22,7,20
23,7,20
24,8,19
25,,
26,3,19
27,6,21
28,,
29,7,20
30,9,21
31,6,21
32,8,19
33,7,4
34,11,6
35,8,16
36,6,19
37,8,18
38,8,9
39,8,18
40,8,20
41,7,19
42,8,18
43,2,18
44,5,18
45,1,18
46,3,17
47,5,17
48,4,17
49,4,18
50,5,18
51,5,19
52,5,18
53,4,17
54,3,16
55,3,16
56,3,16
57,1,16
58,2,18
59,7,18
60,9,18
61,12,19
62,15,18
63,16,18
64,15,18
65,10,19
66,8,18
67,7,19
68,6,18
69,3,18
70,2,18
71,2,17
72,1,17
73,5,17
74,5,17
75,5,16
76,5,17
77,6,18
78,4,19
79,6,18
80,6,20
81,1,11
82,6,19
83,8,20
84,8,13
85,5,5
86,6,17
87,4,20
88,0,21
89,1,21
90,0,22
91,1,21
92,0,19
93,1,19
94,2,20
95,1,20
96,1,20
97,5,19
98,8,19
99,10,17
100,12,16
101,10,16
102,7,17
103,5,17
104,6,18
105,5,17
106,5,17
107,5,18
108,4,20
109,3,20
110,0,20
111,1,20
112,3,20
113,4,18
114,5,8
115,7,15
116,5,20
117,2,21
118,0,21
119,0,22
120,1,20
