frame,left,right
1,0,9
2,0,7
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,15,15
13,15,17
14,5,13
15,13,12
16,16,12
17,12,12
18,11,12
19,11,12
20,14,8
21,15,13
22,13,13
23,3,13
24,0,14
25,4,13
26,13,14
27,5,15
28,3,15
29,0,12
30,1,15
31,3,15
32,9,15
33,11,11
34,8,10
35,11,10
36,11,10
37,11,9
38,11,10
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,13,11
47,15,14
48,16,13
49,16,9
50,11,10
51,12,12
52,14,13
53,13,9
54,13,8
55,13,8
56,10,9
57,10,9
58,9,11
59,8,9
60,9,11
61,11,12
62,13,12
63,13,12
64,13,11
65,13,11
66,13,12
67,14,11
68,13,11
69,11,10
70,11,10
71,12,11
72,12,11
73,12,12
74,12,11
75,10,9
76,8,9
77,8,9
78,8,6
79,8,7
80,5,7
81,4,6
82,0,6
83,1,6
84,0,6
85,1,7
86,0,6
87,1,6
88,0,3
89,1,0
90,0,0
91,1,0
92,0,1
93,0,0
94,0,0
95,,
96,,
97,2,13
98,4,14
99,8,13
100,9,12
101,9,11
102,7,10
103,9,11
104,11,11
105,10,11
106,10,12
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
