file_name,condition,angle,abs_angle,date,sample,trial,plane
23_06_22_WT1_1_004_Rec_at_100.19fps_light.csv,light,34.906,34.906,23_06_22_,sample_01,_004,S
23_06_22_WT1_3_005_Rec_at_100.19fps_light.csv,light,-35.441,35.441,23_06_22_,sample_01,_005,S
23_06_22_WT1_3_007_Rec_at_100.19fps_light.csv,light,-27.784,27.784,23_06_22_,sample_01,_007,S
23_06_22_WT2_1_009_Rec_at_100.19fps_dark.csv,dark,-41.121,41.121,23_06_22_,sample_02,_009,S
23_06_22_WT5_2_019_Rec_at_100.19fps_dark.csv,dark,100.814,100.814,23_06_22_,sample_03,_019,S
23_06_22_WT5_2_021_Rec_at_100.19fps_light.csv,light,71.16,71.16,23_06_22_,sample_03,_021,S
23_06_22_WT5_3_022_Rec_at_100.19fps_dark.csv,dark,-126.027,126.027,23_06_22_,sample_03,_022,S
23_06_22_WT6_1_028_Rec_at_100.19fps_dark.csv,dark,-7.291,7.291,23_06_22_,sample_04,_028,S
23_06_22_WT6_1_029_Rec_at_100.19fps_dark.csv,dark,-10.12,10.12,23_06_22_,sample_04,_029,S
23_06_22_WT6_1_030_Rec_at_100.19fps_light.csv,light,-15.986,15.986,23_06_22_,sample_04,_030,S
23_06_29_WT1_002_Rec_at_100.75fps_dark.csv,dark,-107.571,107.571,23_06_29_,sample_05,_002,T
23_06_29_WT1_003_Rec_at_100.75fps_dark.csv,dark,-107.203,107.203,23_06_29_,sample_05,_003,T
23_06_29_WT1_004_Rec_at_100.75fps_light.csv,light,-105.255,105.255,23_06_29_,sample_05,_004,T
23_06_29_WT2_006_Rec_at_100.75fps_dark.csv,dark,59.309,59.309,23_06_29_,sample_06,_006,S
23_06_29_WT2_007_Rec_at_100.75fps_dark.csv,dark,62.52,62.52,23_06_29_,sample_06,_007,S
23_06_29_WT2_008_Rec_at_100.75fps_light.csv,light,58.13,58.13,23_06_29_,sample_06,_008,S
23_06_29_WT3_011_Rec_at_100.75fps_dark.csv,dark,-107.475,107.475,23_06_29_,sample_07,_011,S
23_06_29_WT4_013_Rec_at_100.75fps_dark.csv,dark,-95.638,95.638,23_06_29_,sample_08,_013,S
23_06_29_WT4_014_Rec_at_100.75fps_dark.csv,dark,-92.931,92.931,23_06_29_,sample_08,_014,S
23_06_29_WT4_015_Rec_at_100.75fps_light.csv,light,-89.61,89.61,23_06_29_,sample_08,_015,S
