"","skid","neuron_name","n_centrioles","centrioles_done","n_mito","mito_done","syn_in","syn_out"
"1",3938727,"bridge cell Q3Q4 2437073",0,TRUE,20,TRUE,5,7
"2",3938557,"bridge cell Q1Q2 2438601",2,TRUE,7,TRUE,0,4
"3",3938713,"bridge cell Q1Q2 2437048",0,TRUE,38,TRUE,4,16
"4",3938736,"bridge cell Q1Q2 2437084",0,TRUE,11,TRUE,3,2
"5",3938740,"bridge cell Q3Q4 2437090",0,TRUE,14,TRUE,5,3
"6",3938753,"bridge cell Q3Q4 2437101",2,TRUE,8,TRUE,1,2
"7",3938815,"bridge cell Q3Q4 2458221",0,FALSE,3,FALSE,3,7
"8",3938818,"pre-bridge cell Q3Q4 2458427",2,TRUE,0,FALSE,0,3
"9",3938831,"bridge cell Q3Q4 2458230",0,FALSE,0,FALSE,0,3
"10",3938835,"pre-bridge cell Q3Q4 2458435",0,FALSE,0,FALSE,0,0
"11",3938849,"bridge cell Q3Q4 2458238",0,FALSE,5,TRUE,1,3
"12",3938800,"pre-bridge cell Q3Q4 2458419",0,FALSE,0,FALSE,0,3
"13",3939191,"pre-bridge cell Q1Q2 2480191",1,FALSE,0,FALSE,0,3
"14",3939197,"bridge cell Q1Q2 2480240",1,TRUE,6,TRUE,0,2
"15",3939198,"bridge cell Q1Q2 2480249",0,TRUE,10,TRUE,0,1
"16",3939199,"bridge cell Q1Q2 2480255",2,TRUE,4,TRUE,0,1
"17",3939186,"bridge cell Q1Q2 2480157",0,FALSE,0,FALSE,0,6
"18",3939193,"bridge cell Q1Q2 2480206",0,FALSE,8,TRUE,2,7
"19",3939196,"bridge cell Q1Q2 2480231",3,TRUE,0,FALSE,0,1
"20",3939190,"pre-bridge cell Q1Q2 2480182",2,FALSE,0,FALSE,0,1
"21",3939211,"pre-bridge cell Q3Q4 2480407",0,FALSE,0,FALSE,0,4
"22",3938726,"bridge cell Q3Q4 2436517",0,TRUE,22,TRUE,6,9
"23",3938734,"bridge cell Q3Q4 2437078",0,TRUE,11,TRUE,2,2
"24",3938585,"bridge cell Q1Q2 2473307",0,TRUE,20,TRUE,8,12
"25",3939195,"bridge cell Q1Q2 2480222",0,FALSE,7,TRUE,2,6
"26",3938513,"pre-bridge cell Q1Q2 2472767",0,FALSE,0,FALSE,0,5
