"","celltype","skid","cil_length","pocket_length","axoneme"
"1","monociliated","3938522",3111,0,"9+2"
"2","monociliated","3938752",2105,0,"9+unclear"
"3","monociliated","3938364",2703,0,"9+2"
"4","monociliated","3938430",4538,0,"9+2"
"5","monociliated","3938438",2590,0,"9+2"
"6","monociliated","3938679",1581,0,"9+unclear"
"7","monociliated","3938542",2649,0,"9+2"
"8","monociliated","3938544",3528,0,"9+2"
"9","monociliated","3938762",3841,0,"9+2"
"10","monociliated","3938786",2755,0,"9+2"
"11","monociliated","3938802",2428,0,"9+2"
"12","monociliated","3938837",2139,0,"9+2"
"13","monociliated","3938854",5653,0,"9+2"
"14","monociliated","3938338",4371,0,"9+2"
"15","monociliated","3938343",2669,0,"9+2"
"16","monociliated","3938349",2989,0,"9+2"
"17","monociliated","3938363",2546,0,"9+2"
"18","monociliated","3938383",2616,0,"9+2"
"19","monociliated","3938400",4138,0,"9+2"
"20","monociliated","3938427",3491,0,"9+2"
"21","monociliated","3938442",1643,0,"9+2"
"22","monociliated","3938463",3918,0,"9+2"
"23","monociliated","3938466",3219,0,"9+2"
"24","monociliated","3938468",4457,0,"9+2"
"25","monociliated","3939261",2632,0,"9+2"
"26","monociliated","3938539",2525,0,"9+2"
"27","monociliated","3938564",2387,0,"9+2"
"28","monociliated","3938591",2633,0,"9+2"
"29","monociliated","3938595",3814,0,"9+2"
"30","monociliated","3938598",3948,0,"9+2"
"31","monociliated","3938610",3701,0,"9+2"
"32","monociliated","3938615",2710,0,"9+2"
"33","monociliated","3938648",3314,0,"9+2"
"34","monociliated","3938680",4287,0,"9+2"
"35","monociliated","3938695",2426,0,"9+2"
"36","monociliated","3938708",2791,0,"9+2"
"37","monociliated","3938731",7387,0,"9+2"
"38","monociliated","3938767",1888,0,"9+2"
"39","monociliated","3938774",1987,0,"9+2"
"40","monociliated","3938803",2712,0,"9+2"
"41","monociliated","3938855",1807,0,"9+2"
"42","monociliated","3938350",3131,0,"9+2"
"43","monociliated","3938359",3418,0,"9+2"
"44","monociliated","3938444",2153,0,"9+2"
"45","monociliated","3938474",7539,0,"9+2"
"46","monociliated","3938614",2741,0,"9+2"
"47","monociliated","3938673",1065,0,"9+2"
"48","monociliated","3938682",1592,0,"9+2"
"49","monociliated","3938804",4265,0,"9+2"
"50","monociliated","3938824",2528,0,"9+2"
"51","monociliated","3938839",2785,0,"9+2"
"52","monociliated","3938351",7823,0,"9+2"
"53","monociliated","3938789",371,0,"9+unclear"
"54","monociliated","3938857",2951,0,"9+2"
"55","monociliated","3938858",5025,0,"9+2"
"56","monociliated","3938844",1049,0,"9+2"
"57","monociliated","3938794",2800,0,"9+unclear"
"58","monociliated","3938828",2989,0,"9+2"
"59","monociliated","3938867",4390,0,"9+2"
"60","monociliated","3938819",948,0,"9+unclear"
"61","monociliated","3938836",1529,0,"9+unclear"
"62","monociliated","3938479",2754,0,"9+2"
"63","monociliated","3938495",2806,0,"9+unclear"
"64","monociliated","3938498",6837,0,"9+2"
"65","monociliated","3938505",3651,0,"9+2"
"66","monociliated","3938518",1359,0,"9+2"
"67","monociliated","3938570",863,0,"9+0"
"68","monociliated","3938577",2865,0,"9+2"
"69","monociliated","3938599",1876,0,"9+2"
"70","monociliated","3938532",2195,0,"9+2"
"71","monociliated","3938547",2473,0,"9+2"
"72","monociliated","3938604",1899,926,"9+2"
"73","monociliated","3938745",1971,0,"9+2"
"74","monociliated","3938770",3988,0,"9+2"
"75","monociliated","3938896",1322,0,"9+2"
"76","monociliated","3938345",2070,0,"9+2"
"77","monociliated","3938368",3168,0,"9+2"
"78","monociliated","3938429",1852,0,"9+2"
"79","monociliated","3938483",2881,0,"9+2"
"80","monociliated","3938485",2627,0,"9+2"
"81","monociliated","3938488",1309,0,"9+2"
"82","monociliated","3938548",2247,0,"9+2"
"83","monociliated","3938586",1348,0,"9+2"
"84","monociliated","3938697",523,0,"9+unclear"
"85","monociliated","3938792",1658,0,"9+2"
"86","monociliated","3938842",2309,0,"9+2"
"87","monociliated","3938862",1103,0,"9+2"
"88","monociliated","3938885",1651,0,"9+2"
"89","monociliated","3938336",1726,0,"9+2"
"90","monociliated","3938373",1459,0,"9+2"
"91","monociliated","3938482",1706,0,"9+2"
"92","monociliated","3938486",1486,0,"9+2"
"93","monociliated","3938493",1861,0,"9+2"
"94","monociliated","3938582",1977,0,"9+2"
"95","monociliated","3938702",2364,0,"9+2"
"96","monociliated","3938865",2313,0,"9+2"
"97","monociliated","3938903",2420,0,"9+2"
"98","monociliated","3938910",4212,0,"9+2"
"99","monociliated","3938913",4571,0,"9+2"
"100","monociliated","3938918",4397,0,"9+2"
"101","monociliated","3938920",1638,0,"9+2"
"102","monociliated","3938921",1951,0,"9+2"
"103","monociliated","3938923",1948,0,"9+2"
"104","monociliated","3938924",3100,0,"9+2"
"105","monociliated","3938941",1955,0,"9+2"
"106","monociliated","3938942",3341,287,"9+2"
"107","monociliated","3938943",2654,0,"9+2"
"108","monociliated","3938944",1875,0,"9+2"
"109","monociliated","3938946",2601,0,"9+2"
"110","monociliated","3938947",3971,0,"9+2"
