"","celltype","skid","mito_type","treenodeid","x","y","z"
"1","bridge","3938727","vesicles_none","25070016",38116.4,61950.75,17800
"2","bridge","3938727","vesicles_none","25071618",36526,59090.55,17200
"3","bridge","3938727","vesicles_none","25072208",36273.066,59107.812,15600
"4","bridge","3938727","vesicles_none","25096562",32269.068,53519.016,11900
"5","bridge","3938727","vesicles_none","25096881",35825.535,56930.816,14600
"6","bridge","3938727","vesicles_none","25096978",28501.2,49151.2,8100
"7","bridge","3938727","vesicles_none","25105720",32301.684,52873.613,11350
"8","bridge","3938727","vesicles_none","25106017",37261.47,58505.812,15800
"9","bridge","3938727","vesicles_none","25106429",36256.266,58508.613,15900
"10","bridge","3938727","vesicles_none","25106649",37697.65,61053.19,16550
"11","bridge","3938727","vesicles_none","25108634",37521.56,63432.88,19550
"12","bridge","3938727","vesicles_unc","25070312",37438.8,61502.75,17650
"13","bridge","3938727","vesicles_syn","25056999",37585.02,62282.03,16900
"14","bridge","3938727","vesicles_no_syn","25070796",37654.4,62946.15,17300
"15","bridge","3938727","vesicles_no_syn","25071252",37690.8,61975.95,17300
"16","bridge","3938727","vesicles_no_syn","25105853",34104,55865.414,14150
"17","bridge","3938727","vesicles_syn","25107222",37227.555,62814.08,19000
"18","bridge","3938727","vesicles_syn","25107910",37991.957,63707.28,18800
"19","bridge","3938727","vesicles_syn","25108305",37171.56,63357.28,19550
"20","bridge","3938727","vesicles_syn","25109025",36972.76,63841.68,19300
"21","balancer","3938445","vesicles_none","25158023",19996.389,45920.93,12500
"22","balancer","3938445","vesicles_none","25158710",18316.389,45629.73,15050
"23","balancer","3938445","vesicles_none","25159593",14961.988,45484.13,17100
"24","balancer","3938445","vesicles_none","25160320",15118.788,44582.53,18000
"25","balancer","3938445","vesicles_none","25160795",13897.988,45842.53,18350
"26","balancer","3938445","vesicles_none","25161068",12301.988,45377.73,19000
"27","balancer","3938445","vesicles_none","25161357",12251.588,43462.53,20050
"28","balancer","3938445","vesicles_none","25161768",12531.588,44733.73,20750
"29","biciliated","3938465","vesicles_none","25061304",32563.074,47306.004,23950
"30","biciliated","3938465","vesicles_none","25061728",31532.674,46460.402,24100
"31","biciliated","3938465","vesicles_none","25062128",32210.273,46589.203,24600
"32","biciliated","3938465","vesicles_none","25062610",30950.273,46057.203,24150
"33","biciliated","3938465","vesicles_none","25063010",31157.475,46191.6,24800
"34","biciliated","3938465","vesicles_none","25063217",30155.074,46331.6,25850
"35","biciliated","3938465","vesicles_none","25063490",32579.873,47496.402,22600
"36","biciliated","3938465","vesicles_none","25064746",34864.676,48734.004,21150
"37","biciliated","3938465","vesicles_none","25066256",32495.873,48924.402,17550
"38","biciliated","3938481","vesicles_none","25084512",21794.832,57916.15,9650
"39","biciliated","3938481","vesicles_none","25085420",20047.633,65576.945,16000
"40","biciliated","3938481","vesicles_none","25085872",19207.633,65403.348,16000
"41","biciliated","3938481","vesicles_none","25086441",18126.832,66260.15,16850
"42","biciliated","3938481","vesicles_none","25087180",17930.832,65778.55,16950
"43","biciliated","3938481","vesicles_none","25087592",18440.434,66405.75,17900
"44","biciliated","3938481","vesicles_none","25087932",18490.832,65946.55,18350
"45","biciliated","3938481","vesicles_none","25088297",19314.033,66506.55,18750
"46","multiciliated","3938546","vesicles_none","25150885",21578.668,56686.004,9950
"47","multiciliated","3938546","vesicles_none","25151754",21231.469,58153.203,11250
"48","multiciliated","3938546","vesicles_none","25152233",22194.668,57940.406,11400
"49","multiciliated","3938546","vesicles_none","25152760",19764.268,62694.805,14600
"50","multiciliated","3938546","vesicles_none","25153562",19411.469,64890.004,18250
"51","multiciliated","3938546","vesicles_none","25154151",18980.268,64716.406,19450
"52","multiciliated","3938546","vesicles_none","25154785",18991.469,64884.406,20050
"53","bridge","3938557","vesicles_none","25115928",13859.064,40741.4,23250
"54","bridge","3938557","vesicles_none","25117480",15431.731,41856.266,20700
"55","bridge","3938557","vesicles_none","25118041",16593.357,44150.32,20250
"56","bridge","3938557","vesicles_none","25176232",21905.057,45001.074,15650
"57","bridge","3938557","vesicles_none","25176333",22057.938,45664.625,14600
"58","bridge","3938557","vesicles_none","25176423",19730.662,44768.26,17700
"59","nonciliated","3938562","vesicles_none","25058096",26866.812,44944.953,13700
"60","nonciliated","3938562","vesicles_none","25058426",24582.012,42150.555,19050
"61","nonciliated","3938562","vesicles_none","25058680",23887.611,43186.555,22300
"62","nonciliated","3938562","vesicles_none","25058932",22818.012,40324.953,24300
"63","nonciliated","3938562","vesicles_none","25059282",24800.412,42408.156,24700
"64","nonciliated","3938562","vesicles_none","25059579",23316.412,41310.555,25100
"65","nonciliated","3938562","vesicles_none","25059805",23988.412,39725.754,25700
"66","nonciliated","3938562","vesicles_none","25060072",23730.812,39742.555,26050
"67","nonciliated","3938562","vesicles_none","25060262",24369.213,39804.156,26300
"68","SNN","3938593","vesicles_none","25168602",43763.96,46482.23,7550
"69","SNN","3938593","vesicles_none","25169464",38687.8,60381.6,6200
"70","SNN","3938593","vesicles_none","25169566",38451.2,61539.4,6900
"71","SNN","3938593","vesicles_none","25169714",39932.4,61925.8,7200
"72","SNN","3938593","vesicles_none","25169786",39600.6,61484.8,7300
"73","SNN","3938593","vesicles_none","25169881",39883.4,61686.4,7600
"74","SNN","3938593","vesicles_none","25169961",40575,61540.8,8100
"75","SNN","3938593","vesicles_none","25170105",41027.2,60934.6,8450
"76","SNN","3938593","vesicles_none","25170130",40643.6,60268.2,7350
"77","dome","3938608","vesicles_none","25118771",17910.662,58774.8,3750
"78","dome","3938608","vesicles_none","25119294",15620.263,58836.402,3950
"79","dome","3938608","vesicles_none","25120832",16986.662,57710.8,4350
"80","dome","3938608","vesicles_none","25121529",14735.463,58623.6,5100
"81","dome","3938608","vesicles_none","25122105",13940.263,60975.6,7500
"82","multiciliated","3938645","vesicles_none","25131810",26441.334,36607.195,12050
"83","multiciliated","3938645","vesicles_none","25132227",26060.533,33056.797,15400
"84","multiciliated","3938645","vesicles_none","25133454",24509.334,32138.395,16700
"85","multiciliated","3938645","vesicles_none","25134732",25450.135,30295.994,20000
"86","bridge","3938713","vesicles_none","25072410",22656.354,46344.664,14500
"87","bridge","3938713","vesicles_none","25072727",22745.955,46064.664,14900
"88","bridge","3938713","vesicles_none","25074498",20701.465,46169.477,17650
"89","bridge","3938713","vesicles_none","25074862",20086.287,46565.016,18100
"90","bridge","3938713","vesicles_none","25076226",18974.555,44468.44,19350
"91","bridge","3938713","vesicles_none","25076666",19612.691,43827.46,19950
"92","bridge","3938713","vesicles_none","25076995",18330.666,45847.195,20700
"93","bridge","3938713","vesicles_none","25077450",17289.066,44925.996,21000
"94","bridge","3938713","vesicles_none","25077987",18870.133,46586.39,21850
"95","bridge","3938713","vesicles_none","25078494",18203.73,46323.19,22100
"96","bridge","3938713","vesicles_none","25079195",16758.93,44839.19,22000
"97","bridge","3938713","vesicles_none","25083077",15612.532,40437.395,23700
