"","skid","celltype","cilia","avg_cil_length","avg_cil_pocket_depth","centrioles","mitochondria","incoming_syn","outgoing_syn","polyadicity","upstream_celltypes","downstream_celltypes"
"1",4018714,"balancer",1,NA,NA,NA,7,2,0,NA,"SSN",""
"2",4018718,"balancer",1,NA,NA,NA,NA,0,0,NA,"",""
"3",4018412,"balancer",1,NA,NA,NA,NA,0,0,NA,"",""
"4",4018395,"balancer",1,NA,NA,NA,NA,1,0,NA,"SSN",""
"5",4018378,"balancer",1,NA,NA,NA,NA,0,0,NA,"",""
"6",4018371,"balancer",1,NA,NA,NA,NA,0,0,NA,"",""
"7",4018485,"balancer",1,NA,NA,NA,NA,1,0,NA,"",""
"8",4018740,"biciliated",2,3125.5,0,NA,6,0,0,NA,"",""
"9",4018775,"plumose",3,2775.66666666667,0,0,NA,0,0,NA,"",""
"10",4018362,"biciliated",2,3732,0,0,7,2,0,NA,"SSN",""
"11",4019221,"SSN",0,NA,NA,NA,249,52,164,1.64024390243902,"SSN, bridge","SSN, nonciliated, monociliated, epithelial_floor, dense_vesicle, Cgroove, bridge, biciliated, balancer"
"12",4018450,"monociliated",1,2806,0,NA,NA,2,0,NA,"SSN",""
"13",4018477,"monociliated",1,3111,0,NA,6,1,0,NA,"SSN",""
"14",4018677,"nonciliated",0,NA,NA,NA,7,2,0,NA,"SSN",""
"15",4018681,"bridge",0,NA,NA,0,22,9,6,1,"SSN","SSN"
"16",4018699,"intra-multi-ciliated",21,8643.18181818182,8478.04545454545,NA,18,0,0,NA,"",""
"17",4018707,"monociliated",1,2105,0,NA,NA,2,0,NA,"SSN",""
"18",4018713,"nonciliated",0,NA,NA,NA,NA,0,0,NA,"",""
"19",4018290,"plumose",2,2542.5,0,1,8,0,0,NA,"",""
"20",4018303,"biciliated",2,2033.5,0,0,NA,0,0,NA,"",""
"21",4018319,"monociliated",1,2703,0,NA,NA,0,0,NA,"",""
"22",4018342,"lamellate",20,4570.7,4479.6,NA,NA,0,0,NA,"",""
"23",4018351,"lamellate",23,4531.4347826087,4467.91304347826,NA,28,0,0,NA,"",""
"24",4018358,"large_granular_cell",0,NA,NA,NA,6,0,0,NA,"",""
