"","treenode_id","connector_id","prepost","x","y","z","skid"
"1",7338981,7569217,1,39224.58,48327.61,18900,2437106
"2",7566319,7566318,1,40250.465,47207.3,20750,2437106
"3",7691295,7691293,1,42258.074,51093.934,10850,2437162
"4",7330565,7565827,1,42268.21,55242.17,13100,2436154
"5",7334759,7570481,1,27569.73,51677.74,23450,2436698
"6",7379339,7334967,1,30672.133,52527.07,23750,2436698
"7",7559842,7559845,0,32000.732,63860.297,18950,2496955
"8",7526392,7569183,0,31403.867,56746.9,16700,2496955
"9",7540152,7526089,0,29073.797,55391.47,24950,2496955
"10",7569186,7569198,0,30768.268,56854.7,16750,2496955
"11",7575303,7575310,0,32686.58,60067.547,18000,2496955
"12",7559759,7569206,0,32232.357,59281.363,17600,2496955
"13",7540231,7540235,0,27159.998,42711.434,23850,2496955
"14",7575333,7575342,0,30415.78,57620.344,16600,2496955
"15",7528671,7575376,0,30882.447,62249.68,20550,2496955
"16",7560217,7560220,0,36822.8,64267.23,17500,2496955
"17",7525795,7569217,0,39224.58,48327.61,18900,2496955
"18",7541326,7634855,1,18396,50905.402,24950,2496955
"19",7575555,7575562,0,13544.38,48131.61,22950,2496955
"20",7560236,7548040,0,38376.33,63268.098,17350,2496955
"21",7569406,7569415,1,14330.4,34895.234,19900,2496955
"22",7334589,7334590,0,41575.332,55783.004,16000,2496955
"23",7569516,7569525,0,37102.76,56013.895,11900,2496955
"24",7560307,7548035,0,37963.02,62150.43,16750,2496955
"25",7555824,7569531,0,36472.76,55711.496,11900,2496955
"26",7560307,7577767,1,37540.22,62371.63,16900,2496955
"27",7555824,7569535,1,35881.96,56055.895,11900,2496955
"28",7540172,7577768,0,27047.996,54436.664,24900,2496955
"29",7569545,7569546,0,21791.004,40581.797,20350,2496955
"30",7560349,7560351,0,38707.82,62273.63,16200,2496955
"31",7569568,7569579,0,33856.2,51385.84,25650,2496955
"32",7525984,7525985,0,36273.535,52223.03,22400,2496955
"33",7569585,7569594,0,34087.2,51681.24,25200,2496955
"34",7575547,7575564,0,13244.78,47834.81,22550,2496955
"35",7542276,7569619,0,21258.07,35382.2,23200,2496955
"36",7575655,7575661,0,17768.8,33486.836,14600,2496955
"37",7569704,7569713,0,36652,52660.3,23050,2496955
"38",7541459,7541458,0,23564.799,57180.664,20500,2496955
"39",7569725,7569731,0,20296.27,31984.4,23050,2496955
"40",7541468,7541469,0,25815.064,59500.93,20200,2496955
"41",7569720,7569732,0,20103.07,31777.2,22900,2496955
"42",7540215,7569917,0,27477.797,42006.066,24950,2496955
"43",7541332,7572361,1,15776.761,45675.785,25700,2496955
"44",7540224,7569922,0,27903.396,41790.465,24300,2496955
"45",7541660,7332842,1,18615.025,42437.117,27000,2496955
"46",7570018,7570024,0,13698.533,43803.01,22800,2496955
"47",7570227,7570241,0,10593.333,46234.81,11650,2496955
"48",7570276,7570277,0,11688.133,43093.21,19250,2496955
"49",7541681,7541825,1,15861.69,40361.387,25150,2496955
"50",7570114,7570115,0,12337.733,41774.41,18350,2496955
"51",7570296,7570305,0,14312.669,43382.727,22350,2496955
"52",7570414,7570421,0,12824.933,44776.01,21600,2496955
"53",7570453,7570455,0,11329.733,44826.41,14500,2496955
"54",7570456,7570455,1,11329.733,44826.41,14500,2496955
"55",7650877,7650878,0,40969.01,55475.97,17950,2496955
"56",7334757,7570481,0,27569.73,51677.74,23450,2496955
"57",7575855,7575834,1,39320.4,59213.24,16850,2496955
"58",7575854,7575865,0,39953.2,58849.24,16800,2496955
"59",7570537,7570541,0,13753.04,37703.355,21100,2496955
"60",7533092,7572464,1,16978.58,36553.074,23700,2496955
"61",7575881,7575888,0,39704,59067.64,16450,2496955
"62",7575893,7575897,0,39802,57914.04,17050,2496955
"63",7575837,7575834,1,39320.4,59213.24,16850,2496955
"64",7575983,7575984,0,28800.797,48429.266,25800,2496955
"65",7540084,7575986,0,28302.396,48961.266,26000,2496955
"66",7526276,7576014,1,41451.82,60196.03,15500,2496955
"67",7540061,7564498,0,27799.799,47852.47,26300,2496955
"68",7570866,7525941,1,32576.133,49218.164,25350,2496955
"69",7560358,7576015,0,41135.42,60201.63,16000,2496955
"70",7570891,7570890,1,35180.336,52684.438,22600,2496955
"71",7565184,7565185,0,30434.133,63062.297,21050,2496955
"72",7565200,7565199,1,40526.734,60851.7,14400,2496955
"73",7576087,7576096,0,11423.533,42698.41,13200,2496955
"74",7546900,7546899,1,31197.918,58001.145,22700,2496955
"75",7565529,7565590,0,39123.934,57305.96,13100,2496955
"76",7565639,7565652,0,38195.734,56864.96,12900,2496955
"77",7565679,7565687,1,38945.664,57171.56,13550,2496955
"78",7565991,7565998,0,42331.21,53025.97,17400,2496955
"79",7528138,7566307,0,41670.41,52779.57,19450,2496955
"80",7525691,7566317,0,40102.066,48237.7,20850,2496955
"81",7540303,7566318,0,40250.465,47207.3,20750,2496955
"82",7566335,7566336,0,40053.43,50784.766,20750,2496955
"83",7525595,7566416,0,34336.867,47802.766,22650,2496955
"84",7532812,7566573,0,26725.998,42946.637,23850,2496955
"85",7532977,7566579,0,23030,39631.434,22600,2496955
"86",7576482,7576481,1,14267.865,40810.93,24000,2496955
"87",7541311,7566715,0,17879.09,51047.58,23300,2496955
"88",7541268,7566733,0,20295.334,51516.73,20850,2496955
