celltype,characteristic,value
ANN,mean_vesicles_syn,112.33333333333333
ANN,mean_vesicles_no_syn,41.333333333333336
bal,mean_vesicles_syn,0
bal,mean_vesicles_no_syn,5.75
brg,mean_vesicles_syn,2.466666666666667
brg,mean_vesicles_no_syn,10.2
bsl,mean_vesicles_syn,0
bsl,mean_vesicles_no_syn,4
cg,mean_vesicles_syn,0
cg,mean_vesicles_no_syn,7.333333333333333
do,mean_vesicles_syn,0
do,mean_vesicles_no_syn,5
dv,mean_vesicles_syn,0
dv,mean_vesicles_no_syn,4.333333333333333
ef,mean_vesicles_syn,0
ef,mean_vesicles_no_syn,5.4
imc,mean_vesicles_syn,0
imc,mean_vesicles_no_syn,16.333333333333332
la,mean_vesicles_syn,0
la,mean_vesicles_no_syn,17
li,mean_vesicles_syn,0
li,mean_vesicles_no_syn,36
pl,mean_vesicles_syn,0
pl,mean_vesicles_no_syn,8
