celltype,skid,mean_vesicles_no_syn,mean_vesicles_syn
1c,4018323,6,0
1c,4018336,4,0
1c,4018477,6,0
1c,4018499,5,0
1c,4018554,11,0
2c,4018362,7,0
2c,4018420,9,0
2c,4018436,8,0
2c,4018740,6,0
2c,4018796,7,0
2c,4018853,4,0
2c,4018894,4,0
2c,4018958,5,0
2c,4019021,2,1
2c,4019190,3,0
ANN,4018492,19,119
ANN,4018688,24,68
ANN,4019221,84,163
bal,4018400,8,0
bal,4018403,5,0
bal,4018573,3,0
bal,4018714,7,0
brg,4018512,6,0
brg,4018540,12,8
brg,4018668,34,4
brg,4018681,16,6
brg,4018682,15,5
brg,4018689,9,2
brg,4018691,8,3
brg,4018695,9,5
brg,4018708,7,1
brg,4018804,5,0
brg,4019148,6,2
brg,4019150,6,1
brg,4019152,6,0
brg,4019153,10,0
brg,4019154,4,0
cg,4018359,6,0
cg,4018368,9,0
cg,4019120,7,0
do,4018563,5,0
do,4018566,5,0
do,4018593,5,0
do,4018669,5,0
dv,4018764,4,0
dv,4018807,4,0
dv,4018824,5,0
ef,4018321,9,0
ef,4018685,4,0
ef,4018825,3,0
ef,4018948,8,0
ef,4019033,3,0
imc,4018535,17,0
imc,4018579,14,0
imc,4018699,18,0
la,4018351,28,0
la,4018543,11,0
la,4018544,12,0
li,4018442,29,0
li,4019139,43,0
muc,4018501,7,0
muc,4018600,4,0
muc,4019015,7,0
muc,4019056,7,0
noc,4018517,9,0
noc,4018677,7,0
noc,4018780,13,0
pl,4018289,10,0
pl,4018290,8,0
pl,4018828,6,0
