X,treenode_id,connector_id,prepost,x,y,z,skid,SSN_source,celltype
1,25286410,25337713,1,39224.58,48327.61,18900,3965367,SSN_Q1Q2Q3Q4,balancer
2,25209783,25337607,1,40250.465,47207.3,20750,3965367,SSN_Q1Q2Q3Q4,balancer
3,25324112,25337983,1,42258.074,51093.934,10850,3965048,SSN_Q1Q2Q3Q4,balancer
18,25274714,25337537,1,18396,50905.402,24950,3965874,SSN_Q1Q2,SSN
21,25294973,25337715,1,14330.4,34895.234,19900,3965874,SSN_Q1Q2Q3Q4,SSN
44,25274899,25337866,1,15776.761,45675.785,25700,3965874,SSN_Q1Q2,SSN
46,25284053,25337782,1,18615.025,42437.117,27000,3965874,SSN_Q1Q2,SSN
50,25284572,25337909,1,15861.69,40361.387,25150,3965874,SSN_Q1Q2,SSN
55,25326691,25337741,1,11329.733,44826.41,14500,3965874,SSN_Q1Q2Q3Q4,SSN
61,25267183,25337877,1,16978.58,36553.074,23700,3965874,SSN_Q1Q2,SSN
69,25226936,25337701,1,32576.133,49218.164,25350,3965874,SSN_Q3Q4,SSN
71,25227612,25337759,1,35180.336,52684.438,22600,3965874,SSN_Q3Q4,SSN
73,25286095,25337570,1,40526.734,60851.7,14400,3965874,SSN_Q3Q4,SSN
75,25211079,25337988,1,31197.918,58001.145,22700,3965874,SSN_Q3Q4,SSN
90,25277860,25337921,1,32686.58,60067.547,18000,3965874,SSN_Q1Q2Q3Q4,SSN
92,25242116,25337712,1,32232.357,59281.363,17600,3965874,SSN_Q1Q2Q3Q4,SSN
99,25205246,25337805,1,14745.73,44208.26,22550,3965874,SSN_Q1Q2,SSN
100,25311795,25337808,1,14479.73,44429.46,23000,3965874,SSN_Q1Q2,SSN
111,25286959,25337653,1,16357.6,33597.434,22400,3965874,SSN_Q1Q2Q3Q4,SSN
116,25221418,25337997,1,23505.379,51089.812,25300,3965874,SSN_Q1Q2,SSN
117,25228391,25337905,1,36517.91,61585.14,21700,3965874,SSN_Q3Q4,SSN
120,25279066,25337906,1,35313.91,61965.94,21600,3965874,SSN_Q3Q4,SSN
123,25229198,25337989,1,36747.51,61937.94,21450,3965874,SSN_Q3Q4,SSN
136,25260506,25338012,1,34669.6,64301.812,19000,3965874,SSN_Q1Q2Q3Q4,SSN
148,25262366,25338000,1,23947.78,51095.414,25000,3965874,SSN_Q1Q2,SSN
166,25234199,25337990,1,32397.248,58885.01,18150,3965874,SSN_Q3Q4,SSN
170,25240671,25337597,1,42331.21,53025.97,17400,3965874,SSN_Q1Q2Q3Q4,SSN
184,25304981,25337539,1,35341.6,57309.94,17200,3965874,SSN_Q3Q4,SSN
200,25322941,25337599,1,40369.81,53343.77,19200,3965874,SSN_Q1Q2Q3Q4,SSN
220,25253728,25337928,1,17768.8,33486.836,14600,3965874,SSN_Q1Q2Q3Q4,SSN
221,25334251,25337651,1,17066,34193.836,22700,3965874,SSN_Q1Q2Q3Q4,SSN
222,25331894,25338038,1,17546.2,31947.531,13600,3965874,SSN_Q1Q2Q3Q4,SSN
228,25253996,25337761,1,39656.4,55124.535,20600,3965334,SSN_Q3Q4,bridge
229,25253406,25337765,1,39252.26,55710.66,19850,3965334,SSN_Q3Q4,bridge
230,25253595,25337766,1,39425.86,55154.86,20100,3965334,SSN_Q3Q4,bridge
231,25253344,25337767,1,38734.26,54144.06,19550,3965334,SSN_Q3Q4,bridge
232,25253039,25337790,1,38118.26,55113.645,18700,3965334,SSN_Q3Q4,bridge
233,25253762,25337566,1,39594.8,54533.734,20350,3965334,SSN_Q3Q4,bridge
234,25253506,25337583,1,39053.46,54030.664,19900,3965334,SSN_Q3Q4,bridge
235,25254172,25337585,1,39855.2,55117.535,21100,3965334,SSN_Q3Q4,bridge
236,25252815,25337600,1,37347.95,54281.266,17950,3965334,SSN_Q3Q4,bridge
250,25211538,25337737,1,11688.133,43093.21,19250,3965053,SSN_Q1Q2Q3Q4,balancer
251,25215587,25337740,1,12824.933,44776.01,21600,3965055,SSN_Q1Q2Q3Q4,balancer
252,25215612,25337740,1,12824.933,44776.01,21600,3965058,SSN_Q1Q2Q3Q4,balancer
253,25207308,25337735,1,12337.733,41774.41,18350,3965064,SSN_Q1Q2Q3Q4,balancer
254,25305835,25337867,1,11453.121,41518.863,17600,3965064,SSN_Q1Q2,balancer
