Var1,Var2,Freq
bal Q1,bal Q1,0
bal Q2,bal Q1,0
bal Q3,bal Q1,0
bal Q4,bal Q1,0
brg Q1Q2,bal Q1,1
brg Q3Q4,bal Q1,0
ANN Q1Q2,bal Q1,14
ANN Q3Q4,bal Q1,0
ANN Q1-4,bal Q1,8
bal Q1,bal Q2,0
bal Q2,bal Q2,0
bal Q3,bal Q2,0
bal Q4,bal Q2,0
brg Q1Q2,bal Q2,0
brg Q3Q4,bal Q2,0
ANN Q1Q2,bal Q2,15
ANN Q3Q4,bal Q2,0
ANN Q1-4,bal Q2,12
bal Q1,bal Q3,0
bal Q2,bal Q3,0
bal Q3,bal Q3,0
bal Q4,bal Q3,0
brg Q1Q2,bal Q3,0
brg Q3Q4,bal Q3,0
ANN Q1Q2,bal Q3,0
ANN Q3Q4,bal Q3,2
ANN Q1-4,bal Q3,7
bal Q1,bal Q4,0
bal Q2,bal Q4,0
bal Q3,bal Q4,0
bal Q4,bal Q4,0
brg Q1Q2,bal Q4,0
brg Q3Q4,bal Q4,0
ANN Q1Q2,bal Q4,0
ANN Q3Q4,bal Q4,3
ANN Q1-4,bal Q4,19
bal Q1,brg Q1Q2,0
bal Q2,brg Q1Q2,0
bal Q3,brg Q1Q2,0
bal Q4,brg Q1Q2,0
brg Q1Q2,brg Q1Q2,4
brg Q3Q4,brg Q1Q2,0
ANN Q1Q2,brg Q1Q2,57
ANN Q3Q4,brg Q1Q2,0
ANN Q1-4,brg Q1Q2,6
bal Q1,brg Q3Q4,0
bal Q2,brg Q3Q4,0
bal Q3,brg Q3Q4,0
bal Q4,brg Q3Q4,0
brg Q1Q2,brg Q3Q4,0
brg Q3Q4,brg Q3Q4,4
ANN Q1Q2,brg Q3Q4,0
ANN Q3Q4,brg Q3Q4,12
ANN Q1-4,brg Q3Q4,30
bal Q1,ANN Q1Q2,0
bal Q2,ANN Q1Q2,0
bal Q3,ANN Q1Q2,0
bal Q4,ANN Q1Q2,0
brg Q1Q2,ANN Q1Q2,17
brg Q3Q4,ANN Q1Q2,0
ANN Q1Q2,ANN Q1Q2,1
ANN Q3Q4,ANN Q1Q2,0
ANN Q1-4,ANN Q1Q2,1
bal Q1,ANN Q3Q4,0
bal Q2,ANN Q3Q4,0
bal Q3,ANN Q3Q4,0
bal Q4,ANN Q3Q4,0
brg Q1Q2,ANN Q3Q4,0
brg Q3Q4,ANN Q3Q4,6
ANN Q1Q2,ANN Q3Q4,0
ANN Q3Q4,ANN Q3Q4,0
ANN Q1-4,ANN Q3Q4,6
bal Q1,ANN Q1-4,0
bal Q2,ANN Q1-4,0
bal Q3,ANN Q1-4,0
bal Q4,ANN Q1-4,0
brg Q1Q2,ANN Q1-4,2
brg Q3Q4,ANN Q1-4,19
ANN Q1Q2,ANN Q1-4,9
ANN Q3Q4,ANN Q1-4,9
ANN Q1-4,ANN Q1-4,6
