frame,left,right
1,3,13
2,6,14
3,6,13
4,6,11
5,2,9
6,8,11
7,7,11
8,6,11
9,7,14
10,7,14
11,5,13
12,6,18
13,7,19
14,6,16
15,8,18
16,8,18
17,7,16
18,4,15
19,1,12
20,2,8
21,2,10
22,3,11
23,2,12
24,1,12
25,4,11
26,2,11
27,2,10
28,2,9
29,1,8
30,2,8
31,4,9
32,4,8
33,5,9
34,3,8
35,1,7
36,4,8
37,5,9
38,6,9
39,7,10
40,7,9
41,1,5
42,1,4
43,1,1
44,1,4
45,6,9
46,9,14
47,10,16
48,3,7
49,9,19
50,10,22
51,11,20
52,7,17
53,1,13
54,3,12
55,1,11
56,3,10
57,1,10
58,1,10
59,2,8
60,3,8
61,1,7
62,1,8
63,1,8
64,2,8
65,5,10
66,7,15
67,10,18
68,8,18
69,8,15
70,6,14
71,4,11
72,1,12
73,1,11
74,3,10
75,1,10
76,1,10
77,4,11
78,6,13
79,8,13
80,10,13
81,13,15
82,12,15
83,10,14
84,2,7
85,2,11
86,7,20
87,8,21
88,9,22
89,11,21
90,9,19
91,7,16
92,6,14
93,4,12
94,1,11
95,1,9
96,1,8
97,1,8
98,1,8
99,1,7
100,1,6
101,1,6
102,2,6
103,1,7
104,2,4
105,1,2
