frame,left,right
1,15,15
2,15,17
3,5,13
4,13,12
5,16,12
6,12,12
7,11,12
8,11,12
9,14,8
10,15,13
11,13,13
12,3,13
13,4,13
14,13,14
15,5,15
16,3,15
17,1,15
18,3,15
19,9,15
20,11,11
21,8,10
22,11,10
23,11,10
24,11,9
25,11,10
26,13,11
27,15,14
28,16,13
29,16,9
30,11,10
31,12,12
32,14,13
33,13,9
34,13,8
35,13,8
36,10,9
37,10,9
38,9,11
39,8,9
40,9,11
41,11,12
42,13,12
43,13,12
44,13,11
45,13,11
46,13,12
47,14,11
48,13,11
49,11,10
50,11,10
51,12,11
52,12,11
53,12,12
54,12,11
55,10,9
56,8,9
57,8,9
58,8,6
59,8,7
60,5,7
61,4,6
62,1,6
63,1,7
64,1,6
65,2,13
66,4,14
67,8,13
68,9,12
69,9,11
70,7,10
71,9,11
72,11,11
73,10,11
74,10,12
