"Var1","Var2","Freq"
"balancer_Q1","balancer_Q1",0
"balancer_Q2","balancer_Q1",0
"balancer_Q3","balancer_Q1",0
"balancer_Q4","balancer_Q1",0
"bridge_Q1Q2","balancer_Q1",1
"bridge_Q3Q4","balancer_Q1",0
"SSN_Q1Q2","balancer_Q1",14
"SSN_Q3Q4","balancer_Q1",0
"SSN_Q1Q2Q3Q4","balancer_Q1",8
"balancer_Q1","balancer_Q2",0
"balancer_Q2","balancer_Q2",0
"balancer_Q3","balancer_Q2",0
"balancer_Q4","balancer_Q2",0
"bridge_Q1Q2","balancer_Q2",0
"bridge_Q3Q4","balancer_Q2",0
"SSN_Q1Q2","balancer_Q2",15
"SSN_Q3Q4","balancer_Q2",0
"SSN_Q1Q2Q3Q4","balancer_Q2",12
"balancer_Q1","balancer_Q3",0
"balancer_Q2","balancer_Q3",0
"balancer_Q3","balancer_Q3",0
"balancer_Q4","balancer_Q3",0
"bridge_Q1Q2","balancer_Q3",0
"bridge_Q3Q4","balancer_Q3",0
"SSN_Q1Q2","balancer_Q3",0
"SSN_Q3Q4","balancer_Q3",2
"SSN_Q1Q2Q3Q4","balancer_Q3",7
"balancer_Q1","balancer_Q4",0
"balancer_Q2","balancer_Q4",0
"balancer_Q3","balancer_Q4",0
"balancer_Q4","balancer_Q4",0
"bridge_Q1Q2","balancer_Q4",0
"bridge_Q3Q4","balancer_Q4",0
"SSN_Q1Q2","balancer_Q4",0
"SSN_Q3Q4","balancer_Q4",3
"SSN_Q1Q2Q3Q4","balancer_Q4",19
"balancer_Q1","bridge_Q1Q2",0
"balancer_Q2","bridge_Q1Q2",0
"balancer_Q3","bridge_Q1Q2",0
"balancer_Q4","bridge_Q1Q2",0
"bridge_Q1Q2","bridge_Q1Q2",4
"bridge_Q3Q4","bridge_Q1Q2",0
"SSN_Q1Q2","bridge_Q1Q2",57
"SSN_Q3Q4","bridge_Q1Q2",0
"SSN_Q1Q2Q3Q4","bridge_Q1Q2",6
"balancer_Q1","bridge_Q3Q4",0
"balancer_Q2","bridge_Q3Q4",0
"balancer_Q3","bridge_Q3Q4",0
"balancer_Q4","bridge_Q3Q4",0
"bridge_Q1Q2","bridge_Q3Q4",0
"bridge_Q3Q4","bridge_Q3Q4",4
"SSN_Q1Q2","bridge_Q3Q4",0
"SSN_Q3Q4","bridge_Q3Q4",12
"SSN_Q1Q2Q3Q4","bridge_Q3Q4",30
"balancer_Q1","SSN_Q1Q2",0
"balancer_Q2","SSN_Q1Q2",0
"balancer_Q3","SSN_Q1Q2",0
"balancer_Q4","SSN_Q1Q2",0
"bridge_Q1Q2","SSN_Q1Q2",17
"bridge_Q3Q4","SSN_Q1Q2",0
"SSN_Q1Q2","SSN_Q1Q2",1
"SSN_Q3Q4","SSN_Q1Q2",0
"SSN_Q1Q2Q3Q4","SSN_Q1Q2",1
"balancer_Q1","SSN_Q3Q4",0
"balancer_Q2","SSN_Q3Q4",0
"balancer_Q3","SSN_Q3Q4",0
"balancer_Q4","SSN_Q3Q4",0
"bridge_Q1Q2","SSN_Q3Q4",0
"bridge_Q3Q4","SSN_Q3Q4",6
"SSN_Q1Q2","SSN_Q3Q4",0
"SSN_Q3Q4","SSN_Q3Q4",0
"SSN_Q1Q2Q3Q4","SSN_Q3Q4",6
"balancer_Q1","SSN_Q1Q2Q3Q4",0
"balancer_Q2","SSN_Q1Q2Q3Q4",0
"balancer_Q3","SSN_Q1Q2Q3Q4",0
"balancer_Q4","SSN_Q1Q2Q3Q4",0
"bridge_Q1Q2","SSN_Q1Q2Q3Q4",2
"bridge_Q3Q4","SSN_Q1Q2Q3Q4",19
"SSN_Q1Q2","SSN_Q1Q2Q3Q4",9
"SSN_Q3Q4","SSN_Q1Q2Q3Q4",9
"SSN_Q1Q2Q3Q4","SSN_Q1Q2Q3Q4",6
